representation	view	split	label	n	accuracy	balanced_accuracy	macro_f1	n_splits
majority	none	lemma_group	evidence	688	0.2558139534883721	0.17893677679020628	0.14302096409941895	5.0
tfidf_char_3_5	marker_only	lemma_group	evidence	688	0.376453488372093	0.32412767622561356	0.32833357377848904	5.0
tfidf_char_3_5	marker_scope	lemma_group	evidence	688	0.22965116279069767	0.2112007707661297	0.21697028964222392	5.0
tfidf_char_3_5	context_only_1	lemma_group	evidence	688	0.23546511627906977	0.23942259949426692	0.23913061389104945	5.0
tfidf_char_3_5	context_marker_1	lemma_group	evidence	688	0.26598837209302323	0.26429707049682194	0.26659680340726877	5.0
tfidf_char_3_5	context_marker_scope_1	lemma_group	evidence	688	0.25290697674418605	0.25656693400150604	0.2605919558102051	5.0
tfidf_char_3_5	context_only_3	lemma_group	evidence	688	0.2558139534883721	0.2565936017204131	0.25680209241941093	5.0
tfidf_char_3_5	context_marker_3	lemma_group	evidence	688	0.2601744186046512	0.26085920365127435	0.26026102847101124	5.0
tfidf_char_3_5	context_marker_scope_3	lemma_group	evidence	688	0.26308139534883723	0.2638003801218626	0.26305701365873146	5.0
tfidf_char_3_5	context_only_5	lemma_group	evidence	688	0.26308139534883723	0.26388102448760825	0.26031720508667194	5.0
tfidf_char_3_5	context_marker_5	lemma_group	evidence	688	0.26598837209302323	0.2653807137478503	0.26187924948287306	5.0
tfidf_char_3_5	context_marker_scope_5	lemma_group	evidence	688	0.2616279069767442	0.26203746633652625	0.25587633282257377	5.0
tfidf_char_3_5	context_only_10	lemma_group	evidence	688	0.26598837209302323	0.26546135811359595	0.2595033175627773	5.0
tfidf_char_3_5	context_marker_10	lemma_group	evidence	688	0.26308139534883723	0.26350805457182036	0.2577390753226182	5.0
tfidf_char_3_5	context_marker_scope_10	lemma_group	evidence	688	0.26598837209302323	0.2659956167608751	0.25922328994808513	5.0
tfidf_char_3_5	context_only_20	lemma_group	evidence	688	0.26453488372093026	0.26060752088861705	0.2533596767560231	5.0
tfidf_char_3_5	context_marker_20	lemma_group	evidence	688	0.26308139534883723	0.2589101255125562	0.25161093928348577	5.0
tfidf_char_3_5	context_marker_scope_20	lemma_group	evidence	688	0.26453488372093026	0.2612224239016418	0.2532530604131493	5.0
majority	none	within_lemma	evidence	432	0.3472222222222222	0.24867549668874173	0.18428366811035707	5.0
tfidf_char_3_5	marker_only	within_lemma	evidence	432	0.6921296296296297	0.6484342374977178	0.6147020891929038	5.0
tfidf_char_3_5	marker_scope	within_lemma	evidence	432	0.5972222222222222	0.47821325872628584	0.47813689235262224	5.0
tfidf_char_3_5	context_only_1	within_lemma	evidence	432	0.5370370370370371	0.4121954824976348	0.4109148265078768	5.0
tfidf_char_3_5	context_marker_1	within_lemma	evidence	432	0.5856481481481481	0.4487373856827499	0.4455671279228882	5.0
tfidf_char_3_5	context_marker_scope_1	within_lemma	evidence	432	0.5902777777777778	0.4537892226426994	0.449276835558908	5.0
tfidf_char_3_5	context_only_3	within_lemma	evidence	432	0.5555555555555556	0.42376616209397666	0.4190119520834414	5.0
tfidf_char_3_5	context_marker_3	within_lemma	evidence	432	0.5787037037037037	0.4449124881740776	0.4403419939571114	5.0
tfidf_char_3_5	context_marker_scope_3	within_lemma	evidence	432	0.5717592592592593	0.45199126748991686	0.4529757439857922	5.0
tfidf_char_3_5	context_only_5	within_lemma	evidence	432	0.5231481481481481	0.41259990829723314	0.4128324636818316	5.0
tfidf_char_3_5	context_marker_5	within_lemma	evidence	432	0.5416666666666666	0.44944806137861215	0.45290746036382573	5.0
tfidf_char_3_5	context_marker_scope_5	within_lemma	evidence	432	0.5462962962962963	0.4441175475941509	0.4471291703681769	5.0
tfidf_char_3_5	context_only_10	within_lemma	evidence	432	0.5324074074074074	0.4319218679978091	0.4344688526894289	5.0
